"","female","hisp","education","earnings","hours","week","union","uncov","region","race","marital","college_degree","age","id"
"38",1,0,16,44000,40,52,0,0,1,1,4,1,49,38
"39",1,0,12,39643,40,52,0,0,1,1,5,0,50,39
"40",1,0,16,49000,40,52,0,0,1,1,1,1,50,40
"41",0,0,18,56000,55,52,0,0,1,1,1,1,41,41
"42",0,0,12,52000,40,52,0,0,1,1,7,0,21,42
"43",0,0,13,25000,40,52,0,0,1,1,5,0,30,43
"44",1,0,13,34000,40,52,0,0,1,1,5,0,43,44
"45",1,0,16,29300,75,52,0,0,1,1,3,1,62,45
"46",0,0,11,16000,40,52,0,0,1,1,7,0,23,46
"47",1,0,16,42000,55,52,0,0,1,1,1,1,53,47
"48",0,0,12,5000,40,52,0,0,1,1,1,0,58,48
"49",0,0,13,9500,40,52,0,0,1,1,7,0,27,49
"50",1,0,18,30000,40,52,0,0,1,1,7,1,25,50
"51",0,0,14,144000,50,52,0,0,1,1,1,0,41,51
"52",0,0,13,32000,55,52,0,0,1,1,1,0,56,52
"53",0,0,11,4000,60,50,0,0,1,1,5,0,39,53
"54",0,0,12,29000,40,52,0,0,1,1,1,0,43,54
"55",0,0,12,35880,70,52,0,0,1,1,1,0,30,55
"56",1,1,13,8600,40,49,0,0,1,1,7,0,20,56
"57",1,0,18,70500,60,52,0,0,1,1,1,1,41,57
"58",0,0,9,33000,40,48,0,0,1,1,1,0,65,58
"59",1,0,11,26793,50,50,0,0,1,1,7,0,18,59
"60",0,0,12,30000,70,52,0,0,1,1,1,0,30,60
"61",0,0,12,62000,45,52,0,0,1,1,1,0,46,61
"62",0,0,12,37000,40,52,0,0,1,1,1,0,31,62
"63",1,0,12,21000,40,52,0,0,1,1,1,0,29,63
"64",0,0,12,30000,40,52,0,0,1,1,5,0,47,64
"65",0,0,14,24000,40,52,0,0,1,1,1,0,36,65
"66",0,0,12,61340,45,52,0,1,1,1,1,0,41,66
"67",0,0,16,41701,40,52,1,0,1,1,1,1,52,67
"68",1,0,18,181252,44,52,1,0,1,1,1,1,51,68
"69",0,0,12,38000,40,52,0,0,1,1,1,0,45,69
"70",1,0,12,32000,45,52,0,0,1,1,1,0,45,70
"71",0,0,12,40000,40,52,0,0,1,1,5,0,47,71
"72",1,0,16,54435,40,52,0,0,1,1,1,1,38,72
"73",0,0,12,10000,50,52,0,0,1,1,1,0,38,73
"74",1,0,13,35000,40,52,0,0,1,1,5,0,51,74
"75",1,0,14,60000,50,52,0,0,1,1,5,0,54,75
"76",0,0,12,22000,40,52,0,0,1,7,7,0,55,76
"77",0,0,12,40000,40,52,0,0,1,1,1,0,59,77
"78",1,0,9,26000,40,52,0,0,1,1,1,0,44,78
"79",0,0,13,25000,40,52,0,0,1,1,1,0,59,79
"80",0,0,16,37000,40,52,0,0,1,1,1,1,26,80
"81",1,0,16,75000,45,52,0,0,1,1,1,1,38,81
"82",0,0,12,58000,40,52,0,0,1,1,1,0,45,82
"83",0,0,16,79000,50,52,0,0,1,1,1,1,28,83
"84",0,0,16,85000,40,52,0,0,1,1,7,1,52,84
"85",0,0,12,10000,50,52,0,0,1,1,5,0,66,85
"86",1,0,18,34000,45,52,0,0,1,1,1,1,28,86
"87",0,0,14,64315,65,52,0,0,1,1,1,0,42,87
"88",0,0,13,85000,60,52,0,0,1,1,1,0,63,88
"89",0,0,16,71000,45,52,0,0,1,1,1,1,45,89
"90",1,0,13,31000,40,52,0,0,1,1,1,0,27,90
"91",0,0,11,49000,40,52,0,0,1,1,1,0,33,91
"92",0,0,9,28000,45,52,0,0,1,7,1,0,22,92
"93",0,0,18,60000,45,52,0,0,1,1,1,1,39,93
"94",1,0,16,40000,40,52,0,0,1,1,1,1,41,94
"95",0,0,13,22441,40,50,0,0,1,1,7,0,33,95
"96",1,0,12,22000,36,52,0,0,1,1,1,0,37,96
"97",0,0,12,38000,40,52,0,0,1,1,1,0,37,97
"98",1,0,14,60000,40,52,0,0,1,1,5,0,57,98
"99",0,0,12,39000,40,52,0,0,1,1,1,0,54,99
"100",0,0,12,50000,40,52,0,0,1,1,5,0,63,100
"101",0,0,14,50000,40,52,0,0,1,1,1,0,30,101
"102",0,0,16,118000,50,52,0,0,1,1,1,1,47,102
"103",1,0,13,80474,50,52,0,0,1,1,7,0,51,103
"104",0,0,14,45000,55,52,0,0,1,1,7,0,27,104
"105",0,0,14,41900,43,52,0,0,1,1,5,0,35,105
"106",0,0,12,27239,40,52,0,0,1,1,1,0,59,106
"107",0,0,12,35000,40,48,0,0,1,1,1,0,43,107
"108",0,0,14,4040,45,52,0,0,1,1,1,0,48,108
"109",1,0,16,55000,45,52,0,0,1,1,1,1,50,109
"110",1,0,18,16000,40,50,0,0,1,1,5,1,51,110
"111",0,0,16,80000,65,52,0,0,1,1,1,1,30,111
"112",0,0,13,34000,45,52,0,0,1,2,5,0,55,112
"113",0,1,9,50000,70,52,0,0,1,1,1,0,53,113
"114",1,0,12,32000,40,52,0,0,1,1,5,0,38,114
"115",0,0,12,31000,36,52,0,0,1,1,1,0,50,115
"116",1,0,12,56000,50,52,0,0,1,1,1,0,49,116
"117",1,0,16,25000,40,52,1,0,1,1,2,1,25,117
"118",0,0,12,33000,40,52,0,0,1,1,1,0,26,118
"119",0,0,16,57000,60,52,0,0,1,1,7,1,56,119
"120",0,0,12,62000,48,52,0,0,1,1,1,0,51,120
"121",1,0,12,23000,40,52,0,0,1,1,5,0,61,121
"122",0,0,12,27001,55,52,0,0,1,1,1,0,31,122
"123",0,0,12,35000,40,52,0,0,1,1,1,0,69,123
"124",1,0,12,23000,40,52,0,0,1,1,1,0,63,124
"125",0,0,12,42000,40,52,0,0,1,1,1,0,32,125
"126",1,0,13,30000,40,52,0,0,1,1,1,0,32,126
"127",1,0,12,28000,40,52,0,0,1,1,1,0,31,127
"128",1,0,18,80000,40,52,0,0,1,1,1,1,54,128
"129",0,0,18,24000,40,52,0,0,1,1,1,1,63,129
"130",1,0,16,36600,54,52,0,0,1,1,7,1,27,130
"131",0,0,16,40000,55,52,0,0,1,1,1,1,61,131
"132",0,0,12,40000,45,52,0,0,1,1,1,0,47,132
"133",0,0,12,50000,50,52,0,0,1,1,5,0,59,133
"134",0,0,12,67000,40,52,0,0,1,1,5,0,58,134
"135",1,0,12,20000,40,52,0,0,1,1,5,0,46,135
"136",1,0,12,22000,40,52,0,0,1,1,1,0,35,136
"137",0,0,14,50000,50,52,0,0,1,1,1,0,32,137
"138",0,0,14,30000,40,52,0,0,1,1,1,0,46,138
"139",1,0,13,22000,40,52,0,0,1,1,1,0,43,139
"140",1,0,16,32000,50,52,0,0,1,1,1,1,43,140
"141",0,0,12,36200,44,52,0,0,1,1,1,0,36,141
"142",1,0,16,48000,36,52,0,0,1,1,1,1,31,142
"143",1,0,12,33200,40,52,0,0,1,1,1,0,47,143
"144",0,0,13,35000,40,52,0,0,1,1,6,0,48,144
"145",0,0,12,56000,52,52,0,0,1,1,1,0,38,145
"146",1,0,14,75000,45,52,0,0,1,1,1,0,36,146
"147",1,0,13,53898,40,52,0,0,1,1,1,0,43,147
"148",0,0,16,32144,40,49,0,0,1,1,1,1,42,148
"149",0,0,12,26000,55,52,0,0,1,1,1,0,59,149
"150",1,0,12,24787,40,52,0,0,1,5,1,0,56,150
"151",1,0,12,32000,40,52,0,0,1,1,1,0,54,151
"152",0,0,12,20000,40,52,0,0,1,1,1,0,59,152
"153",1,0,13,15000,40,52,0,0,1,1,1,0,61,153
"154",0,0,12,30000,44,52,0,0,1,1,7,0,47,154
"155",1,0,12,29000,72,52,0,0,1,1,1,0,50,155
"156",1,0,13,30000,40,52,0,0,1,1,4,0,67,156
"157",1,0,16,36000,38,52,0,0,1,4,1,1,32,157
"158",0,0,16,35000,40,52,0,0,1,1,1,1,37,158
"159",0,0,16,120000,60,52,0,0,1,1,1,1,48,159
"160",1,0,14,30000,40,52,0,0,1,1,5,0,34,160
"161",1,0,12,25000,42,52,0,0,1,1,5,0,46,161
"162",1,0,13,19000,40,52,0,0,1,1,1,0,61,162
"163",0,0,12,70000,56,52,0,0,1,1,1,0,65,163
"164",0,0,13,53000,60,52,0,0,1,1,7,0,36,164
"165",0,0,14,54000,45,52,0,0,1,1,5,0,40,165
"166",1,0,14,26000,40,52,0,0,1,1,5,0,40,166
"167",0,0,16,67000,50,52,0,0,1,1,1,1,44,167
"168",0,0,14,62402,40,52,0,0,1,1,1,0,62,168
"169",0,0,12,90000,60,52,0,0,1,1,1,0,44,169
"170",1,0,14,20000,40,52,0,0,1,1,1,0,48,170
"171",0,0,12,48500,50,52,0,0,1,1,7,0,45,171
"172",1,0,16,20484,45,52,0,0,1,1,7,1,27,172
"173",0,0,12,23000,60,48,0,0,1,1,5,0,53,173
"174",1,0,13,20134,40,52,0,0,1,1,6,0,23,174
"175",0,0,16,56000,45,52,0,0,1,1,1,1,44,175
"176",0,0,16,25000,40,52,0,0,1,1,1,1,29,176
"177",1,0,13,15000,40,52,0,0,1,1,1,0,25,177
"178",0,0,18,60000,50,52,0,0,1,1,1,1,55,178
"179",1,0,18,22500,50,52,0,0,1,1,1,1,52,179
"180",1,0,16,104000,42,52,0,0,1,1,5,1,36,180
"181",0,0,13,25000,40,52,0,0,1,1,5,0,32,181
"182",0,0,12,50000,40,52,0,0,1,1,1,0,39,182
"183",1,0,12,20000,40,52,0,0,1,1,1,0,37,183
"184",1,0,13,24000,40,52,0,0,1,1,1,0,35,184
"185",0,0,16,85000,40,52,0,0,1,1,1,1,38,185
"186",0,0,12,70000,60,52,0,0,1,1,7,0,34,186
"187",1,0,12,24002,40,52,0,0,1,1,5,0,39,187
"188",0,0,16,95000,60,52,0,0,1,1,1,1,45,188
"189",0,0,18,156697,65,52,0,0,1,1,1,1,51,189
"190",1,0,12,51600,44,52,0,0,1,1,1,0,48,190
"191",1,0,14,38000,40,52,0,0,1,1,5,0,44,191
"192",1,0,12,27000,36,52,0,0,1,1,1,0,26,192
"193",0,0,12,34000,50,52,0,0,1,1,1,0,26,193
"194",0,0,11,41000,40,52,0,0,1,1,5,0,48,194
"195",0,0,12,19000,40,52,0,0,1,1,1,0,48,195
"196",1,0,12,17000,40,52,0,0,1,1,5,0,39,196
"197",0,0,12,19539,40,52,0,0,1,1,7,0,28,197
"198",1,0,18,61500,75,52,0,0,1,1,1,1,32,198
"199",0,0,14,53000,58,52,0,0,1,1,1,0,27,199
"200",1,0,16,50000,50,52,0,0,1,1,1,1,49,200
"201",0,0,16,62000,40,52,0,0,1,1,1,1,33,201
"202",1,0,14,21403,55,52,1,0,1,1,5,0,61,202
"203",1,0,13,60000,48,52,0,0,1,1,1,0,31,203
"204",1,0,12,26000,40,52,0,0,1,1,1,0,56,204
"205",0,0,14,26000,40,52,0,0,1,1,7,0,37,205
"206",0,0,12,75000,45,52,0,0,1,1,5,0,34,206
"207",1,0,13,28000,40,52,0,0,1,1,5,0,47,207
"208",1,0,14,6000,40,52,0,0,1,1,5,0,40,208
"209",0,0,16,32000,45,52,0,0,1,1,1,1,40,209
"210",1,0,18,52000,45,52,0,0,1,1,1,1,46,210
"211",1,0,16,95000,40,52,0,0,1,1,1,1,40,211
"212",0,0,12,50000,40,52,0,0,1,1,1,0,35,212
"213",1,0,14,32000,40,52,0,0,1,1,1,0,38,213
"214",0,0,13,48000,40,52,0,0,1,1,1,0,38,214
"215",1,0,16,42000,50,52,0,0,1,1,1,1,41,215
"216",1,0,14,25000,40,52,0,0,1,1,7,0,45,216
"217",1,1,11,30000,40,52,0,0,1,1,1,0,45,217
"218",1,0,12,39000,40,52,0,0,1,1,5,0,44,218
"219",0,0,16,60000,40,52,0,0,1,1,1,1,40,219
"220",1,0,16,12000,40,52,0,0,1,1,5,1,39,220
"221",0,0,12,35000,57,52,0,0,1,1,7,0,21,221
"222",0,0,18,40000,40,52,0,0,1,1,1,1,56,222
"223",0,0,18,42000,40,51,0,0,1,1,3,1,55,223
"224",0,0,13,32000,40,52,0,0,1,1,7,0,29,224
"225",0,0,12,60000,55,52,0,0,1,1,1,0,48,225
"226",1,0,16,26000,52,52,0,0,1,1,1,1,43,226
"227",0,0,12,60000,50,52,0,0,1,1,1,0,38,227
"228",0,0,12,33500,40,52,0,0,1,1,1,0,45,228
"229",1,0,12,22000,40,52,0,0,1,1,1,0,49,229
"230",0,0,11,22000,50,52,0,0,1,1,7,0,29,230
"231",0,0,12,27457,40,52,0,0,1,1,1,0,54,231
"232",1,0,12,20311,40,52,0,0,1,1,1,0,37,232
"233",1,0,13,30000,40,52,0,0,1,1,7,0,67,233
"234",0,0,12,20000,57,52,0,0,1,1,7,0,40,234
"235",0,0,13,28000,40,52,0,0,1,1,1,0,29,235
"236",0,0,12,28000,40,52,0,0,1,1,1,0,59,236
"237",1,0,14,35000,40,52,0,0,1,1,1,0,43,237
"238",0,0,12,48000,40,52,0,0,1,1,5,0,48,238
"239",0,0,13,30000,42,52,0,0,1,1,1,0,37,239
"240",1,0,12,15000,40,52,0,0,1,1,1,0,32,240
"241",0,0,12,40000,40,52,0,0,1,1,1,0,60,241
"242",1,0,12,40000,40,52,0,0,1,1,1,0,59,242
"243",0,0,18,72000,45,52,0,0,1,1,1,1,42,243
"244",1,0,13,45000,40,52,0,0,1,1,1,0,42,244
"245",1,0,13,62000,40,52,0,0,1,1,7,0,36,245
"246",0,0,14,76000,40,52,0,0,1,1,1,0,52,246
"247",1,0,12,28000,40,48,0,0,1,1,5,0,52,247
"248",0,0,12,65000,70,52,0,0,1,1,1,0,51,248
"249",0,0,16,22000,40,50,0,0,1,1,7,1,19,249
"250",1,0,13,26000,40,52,0,0,1,1,7,0,26,250
"251",0,0,16,70000,45,52,0,0,1,1,1,1,43,251
"252",1,0,12,34000,40,52,0,0,1,1,1,0,41,252
"253",1,0,16,68000,40,52,0,0,1,1,1,1,43,253
"254",1,0,13,13000,40,48,0,0,1,1,7,0,25,254
"255",1,0,14,68640,45,52,0,0,1,1,1,0,37,255
"256",0,0,12,37000,45,52,0,0,1,1,1,0,36,256
"257",1,0,16,55000,45,52,0,0,1,1,5,1,40,257
"258",1,0,13,24900,40,52,1,0,1,1,7,0,38,258
"259",0,0,12,30000,40,52,0,0,1,1,1,0,36,259
"260",1,0,12,26002,40,52,0,0,1,1,1,0,38,260
"261",0,0,16,52000,40,52,0,0,1,1,1,1,54,261
"262",1,0,16,70000,40,52,0,0,1,1,1,1,51,262
"263",0,0,16,25000,60,52,0,0,1,1,7,1,25,263
"264",0,0,16,38291,45,52,0,0,1,1,1,1,41,264
"265",1,0,14,30000,40,52,0,0,1,1,1,0,55,265
"266",0,0,16,32500,40,52,0,0,1,1,1,1,47,266
"267",1,0,16,32500,40,52,0,0,1,1,1,1,39,267
"268",0,1,13,30000,40,52,0,0,1,1,7,0,21,268
"269",0,0,14,5000,60,52,0,0,1,1,7,0,42,269
"270",0,0,16,63674,50,52,0,0,1,1,1,1,56,270
"271",0,0,14,40000,40,52,0,0,1,1,5,0,47,271
"272",0,1,20,75000,40,52,0,0,1,1,1,1,40,272
"273",1,0,12,32500,40,52,0,0,1,1,1,0,30,273
"274",1,0,13,31500,40,52,0,0,1,1,1,0,35,274
"275",0,0,16,36000,44,52,0,0,1,1,1,1,39,275
"276",1,0,16,37000,44,52,0,0,1,1,1,1,44,276
"277",0,0,12,31000,40,52,0,0,1,1,1,0,43,277
"278",1,0,12,27000,40,52,0,0,1,1,7,0,29,278
"279",1,0,16,46000,40,52,0,0,1,1,7,1,40,279
"280",1,0,16,50000,50,52,0,0,1,1,5,1,55,280
"281",1,0,14,61000,40,52,0,0,1,1,7,0,38,281
"282",0,0,20,50000,60,52,0,0,1,1,7,1,35,282
"283",0,0,13,50000,72,52,0,0,1,1,1,0,39,283
"284",1,0,14,60000,40,52,0,0,1,1,1,0,32,284
"285",0,0,12,40000,40,52,0,0,1,1,1,0,41,285
"286",1,0,14,42000,40,52,0,0,1,1,1,0,43,286
"287",0,0,12,39000,36,52,0,0,1,1,1,0,47,287
"288",0,0,13,39000,40,52,0,0,1,1,5,0,43,288
"289",0,0,13,25000,40,52,0,0,1,1,1,0,55,289
"290",1,0,14,25000,40,52,0,0,1,1,1,0,47,290
"291",0,0,14,78000,40,52,0,0,1,1,1,0,46,291
"292",1,0,12,43680,50,52,0,0,1,1,5,0,43,292
"293",0,0,13,76000,45,52,0,0,1,7,1,0,60,293
"294",0,0,18,150000,60,52,0,0,1,1,1,1,50,294
"295",0,0,12,51000,55,52,0,0,1,1,1,0,43,295
"296",1,0,16,67000,40,52,0,0,1,1,1,1,44,296
"297",0,0,12,50000,50,52,0,0,1,1,1,0,51,297
"298",1,0,18,50000,40,52,0,0,1,1,1,1,43,298
"299",0,0,18,44200,40,52,0,0,1,1,1,1,41,299
"300",0,0,12,34000,40,52,0,0,1,1,1,0,51,300
"301",0,0,12,49000,36,52,0,0,1,1,1,0,42,301
"302",0,0,14,8160,40,52,0,0,1,1,1,0,61,302
"303",1,0,13,30000,40,52,0,0,1,1,1,0,42,303
"304",0,0,12,45500,48,52,0,0,1,1,1,0,37,304
"305",0,0,18,88000,60,52,0,0,1,1,1,1,40,305
"306",0,0,12,28000,40,52,0,0,1,1,1,0,56,306
"307",1,0,14,32250,38,52,0,0,1,1,7,0,46,307
"308",1,0,13,18000,40,52,0,0,1,1,1,0,31,308
"309",1,0,13,17500,40,52,0,0,1,1,1,0,37,309
"310",0,0,12,21524,40,52,0,0,1,1,1,0,41,310
"311",0,0,12,13000,60,52,0,0,1,1,1,0,62,311
"312",0,0,12,22000,40,52,0,0,1,1,1,0,41,312
"313",1,0,18,43000,40,52,0,0,1,1,7,1,36,313
"314",0,0,14,30000,44,52,0,0,1,2,1,0,55,314
"315",1,0,12,27000,40,52,0,0,1,1,1,0,44,315
"316",1,0,13,49000,45,52,0,0,1,1,1,0,46,316
"317",0,0,13,51000,47,52,0,0,1,1,1,0,50,317
"318",0,0,20,102000,50,52,0,0,1,1,1,1,48,318
"319",0,0,16,47184,45,52,0,0,1,1,1,1,61,319
"320",0,0,16,50000,40,52,0,0,1,1,1,1,53,320
"321",0,0,12,50000,60,52,0,0,1,1,1,0,54,321
"322",1,0,14,52000,40,52,0,0,1,1,1,0,52,322
"323",1,0,13,16000,40,52,0,0,1,1,1,0,26,323
"324",0,0,14,28000,40,52,0,0,1,1,1,0,29,324
"325",0,0,13,43000,40,52,0,0,1,1,1,0,29,325
"326",0,0,16,25000,40,52,0,0,1,1,7,1,23,326
"327",1,0,13,75000,50,52,0,0,1,1,5,0,75,327
"328",0,0,13,50000,40,52,0,0,1,1,1,0,54,328
"329",0,0,16,41802,40,52,0,0,1,1,5,1,53,329
"330",1,0,18,44000,40,52,0,0,1,1,7,1,39,330
"331",1,0,13,8000,40,52,0,0,1,1,1,0,69,331
"332",0,0,12,19000,40,52,0,0,1,1,1,0,78,332
"333",0,0,12,40000,40,52,0,0,1,1,5,0,43,333
"334",1,0,12,30000,40,52,0,0,1,1,1,0,59,334
"335",0,0,12,40000,50,52,0,0,1,1,1,0,63,335
"336",0,0,16,45000,56,52,0,0,1,1,1,1,56,336
"337",1,0,14,66001,45,52,0,0,1,1,1,0,50,337
"338",0,0,12,25000,40,48,0,0,1,1,1,0,40,338
"339",1,0,13,30000,40,52,0,0,1,1,1,0,37,339
"340",1,0,12,40000,40,52,0,0,1,1,1,0,55,340
"341",0,0,12,40000,45,52,0,0,1,1,1,0,56,341
"342",1,0,9,23660,40,52,0,0,1,1,1,0,49,342
"343",0,0,12,87000,80,52,1,0,1,1,1,0,52,343
"344",1,0,12,24000,40,52,0,0,1,1,1,0,51,344
"345",0,0,14,105000,60,52,0,0,1,1,1,0,46,345
"346",1,0,14,75000,40,52,0,0,1,1,1,0,56,346
"347",0,0,14,65000,40,52,0,0,1,1,1,0,60,347
"348",0,0,18,63000,45,52,0,0,1,1,1,1,51,348
"349",1,1,16,35000,40,52,0,0,1,1,1,1,48,349
"350",1,0,13,20000,40,52,0,0,1,1,1,0,53,350
"351",0,0,16,60000,40,52,0,0,1,1,1,1,29,351
"352",0,0,13,45000,40,52,0,0,1,1,1,0,49,352
"353",0,0,12,30000,40,52,0,0,1,1,7,0,20,353
"354",1,0,14,79000,36,52,0,0,1,1,1,0,28,354
"355",0,0,16,68050,40,52,0,0,1,1,1,1,54,355
"356",0,0,18,57000,50,52,0,0,1,1,1,1,48,356
"357",1,0,18,45000,40,52,0,0,1,1,1,1,50,357
"358",1,0,13,58583,40,52,0,0,1,1,1,0,51,358
"359",0,0,18,199482,45,52,0,0,1,1,1,1,52,359
"360",1,0,14,30000,36,52,0,0,1,1,5,0,47,360
"361",1,0,13,19000,39,52,0,0,1,1,7,0,23,361
"362",0,0,13,35000,40,52,0,0,1,1,6,0,26,362
"363",0,0,14,41000,40,52,0,0,1,1,7,0,24,363
"364",1,0,16,70000,50,52,0,0,1,1,1,1,43,364
"365",0,0,12,2200,40,52,0,0,1,1,1,0,43,365
"366",0,0,18,59300,40,52,0,0,1,1,1,1,29,366
"367",0,0,16,47000,40,52,0,0,1,1,5,1,37,367
"368",1,0,12,18000,40,52,0,0,1,1,1,0,51,368
"369",1,0,12,28000,40,52,0,0,1,1,1,0,36,369
"370",0,0,13,30000,40,52,0,0,1,1,1,0,38,370
"371",1,0,16,42000,50,52,0,0,1,1,7,1,24,371
"372",0,0,16,81595,36,52,0,0,1,1,1,1,57,372
"373",0,0,14,52000,40,52,0,0,1,6,1,0,46,373
"374",1,0,14,30000,36,52,0,0,1,1,1,0,45,374
"375",0,0,9,24000,40,52,0,0,1,1,5,0,29,375
"376",1,0,12,40000,50,52,0,0,1,1,1,0,74,376
"377",0,0,12,50000,40,52,0,0,1,1,5,0,46,377
"378",0,0,14,58000,50,52,0,0,1,1,1,0,44,378
"379",1,0,16,25000,40,48,0,0,1,1,1,1,43,379
"380",0,0,16,37500,45,52,0,0,1,1,1,1,36,380
"381",1,0,12,34000,40,52,0,0,1,1,6,0,38,381
"382",1,0,10,5408,45,52,0,0,1,1,5,0,40,382
"383",1,0,12,42000,50,52,0,0,1,1,1,0,46,383
"384",1,0,14,75000,36,52,0,0,1,1,5,0,50,384
"385",0,0,14,72000,36,52,0,0,1,1,5,0,49,385
"386",0,0,16,45000,40,52,0,0,1,1,1,1,46,386
"387",0,0,13,52000,40,52,0,0,1,1,1,0,41,387
"388",0,0,12,41000,45,52,0,0,1,1,5,0,43,388
"389",0,1,12,18000,36,48,0,0,1,7,7,0,43,389
"390",1,0,13,38000,40,52,0,0,1,1,1,0,40,390
"391",0,0,12,46700,40,52,0,0,1,1,1,0,41,391
"392",1,0,14,68000,40,52,0,0,1,1,1,0,41,392
"393",1,0,12,23000,40,52,0,0,1,1,1,0,53,393
"394",1,0,12,30000,40,52,0,0,1,1,1,0,47,394
"395",0,0,12,62000,40,52,0,0,1,1,1,0,46,395
"396",0,0,16,24000,40,52,0,0,1,1,1,1,40,396
"397",1,0,18,33000,40,52,0,0,1,1,1,1,39,397
"398",1,0,16,37000,40,52,0,0,1,1,4,1,62,398
"399",0,0,13,46000,40,52,0,0,1,1,1,0,32,399
"400",0,0,14,16900,50,50,0,0,1,7,4,0,46,400
"401",1,0,12,65000,50,52,0,0,1,1,1,0,53,401
"402",0,0,18,59000,55,52,0,0,1,1,1,1,53,402
"403",0,0,12,20000,40,52,0,0,1,7,1,0,49,403
"404",1,0,12,32000,40,52,0,0,1,7,1,0,48,404
"405",1,0,16,50002,40,52,0,0,1,1,1,1,40,405
"406",1,0,14,40000,40,52,0,0,1,1,1,0,36,406
"407",0,0,12,30000,40,52,0,0,1,1,1,0,43,407
"408",0,0,18,49600,40,52,0,0,1,4,1,1,51,408
"409",1,0,16,20800,40,52,0,0,1,4,1,1,49,409
"410",0,0,13,40000,40,52,0,0,1,1,7,0,31,410
"411",1,0,12,27600,40,52,0,0,1,1,5,0,48,411
"412",0,0,12,27000,40,52,1,0,1,1,7,0,24,412
"413",0,0,14,68000,40,52,0,0,1,1,5,0,57,413
"414",0,0,12,37440,40,52,0,0,1,1,1,0,54,414
"415",1,0,13,52000,40,52,0,0,1,1,1,0,54,415
"416",0,0,13,49000,45,52,0,0,1,1,1,0,35,416
"417",1,0,12,37000,40,52,0,0,1,1,1,0,36,417
"418",0,0,14,80000,55,52,0,0,1,1,1,0,42,418
"419",0,0,13,44000,40,52,0,0,1,1,7,0,25,419
"420",0,0,13,79000,40,52,0,0,1,1,1,0,51,420
"421",0,0,13,50000,40,52,0,0,1,1,5,0,29,421
"422",0,0,12,34000,40,52,0,0,1,1,5,0,53,422
"423",1,0,16,26000,40,52,0,0,1,1,5,1,46,423
"424",0,0,14,57000,45,52,0,0,1,1,7,0,25,424
"425",1,0,14,25000,40,52,0,0,1,1,7,0,24,425
"426",1,0,14,60528,40,52,0,0,1,1,1,0,59,426
"427",0,0,18,78000,40,52,0,0,1,1,5,1,44,427
"428",0,0,14,18681,40,52,1,0,1,1,1,0,51,428
"429",1,0,14,25000,40,52,0,0,1,1,1,0,33,429
"430",1,0,16,56200,36,52,0,0,1,1,1,1,49,430
"431",1,0,16,25000,38,52,0,0,1,1,5,1,46,431
"432",0,0,14,35000,40,52,1,0,1,1,1,0,56,432
"433",0,0,12,35000,40,52,0,0,1,1,1,0,27,433
"434",1,0,13,58000,40,52,0,0,1,7,1,0,31,434
