"","sex","yob","g2000","g2002","g2004","p2000","p2002","p2004","treatment","cluster","voted","hh_id","hh_size","numberofnames","p2004_mean","g2004_mean","age","bintreat"
"243531","female",1965,"yes","yes","yes","no","no","No"," Control",7093,"No",127665,2,21,0.3809524,0.952381,41,0
"43012","male",1956,"yes","no","yes","yes","yes","No"," Control",1246,"Yes",22416,2,21,0.047619,0.952381,50,0
"301840","female",1934,"yes","yes","yes","no","no","Yes"," Control",8739,"No",157302,2,21,0.6666667,0.8095238,72,0
"227617","female",1928,"yes","yes","yes","no","yes","No"," Control",6630,"No",119325,2,21,0.1904762,0.9047619,78,0
"163166","female",1967,"no","no","yes","no","no","Yes"," Neighbors",4731,"No",85152,3,21,0.5714286,0.9047619,39,1
"286277","female",1974,"yes","yes","yes","no","no","No"," Control",8296,"No",149316,2,21,0.2857143,0.9047619,32,0
"143248","female",1954,"yes","yes","yes","yes","no","No"," Control",4140,"Yes",74515,3,21,0.2380952,0.952381,52,0
"145162","female",1930,"yes","yes","yes","no","no","No"," Control",4197,"No",75533,1,21,0.4761905,1,76,0
"8245","female",1955,"yes","no","yes","yes","no","Yes"," Control",243,"No",4363,2,21,0.5714286,0.7619048,51,0
"131476","female",1963,"yes","yes","yes","no","no","Yes"," Neighbors",3793,"No",68272,2,21,0.2380952,1,43,1
"132242","female",1947,"yes","yes","yes","no","yes","Yes"," Control",3815,"No",68669,2,21,0.5714286,1,59,0
"243404","female",1924,"yes","yes","yes","no","yes","Yes"," Control",7090,"Yes",127603,3,21,0.3809524,0.8571429,82,0
"272926","male",1956,"yes","yes","yes","no","no","Yes"," Control",7931,"No",142744,2,21,0.3333333,0.952381,50,0
"337594","female",1931,"yes","yes","yes","yes","no","Yes"," Neighbors",9799,"No",176378,3,21,0.3333333,0.6190476,75,1
"334222","female",1960,"yes","yes","yes","no","yes","No"," Control",9696,"No",174518,2,21,0.3333333,1,46,0
"270954","male",1973,"yes","no","yes","yes","yes","No"," Control",7877,"Yes",141773,2,21,0.1428571,1,33,0
"318984","female",1938,"yes","yes","yes","no","yes","Yes"," Control",9234,"No",166196,3,21,0.3809524,1,68,0
"318417","female",1943,"yes","yes","yes","yes","no","Yes"," Neighbors",9217,"Yes",165905,2,21,0.3333333,0.8571429,63,1
"259708","male",1967,"yes","no","yes","no","no","Yes"," Control",7557,"No",136012,2,21,0.3333333,1,39,0
"44705","female",1958,"yes","yes","yes","no","no","Yes"," Control",1295,"No",23303,3,21,0.1428571,1,48,0
"64273","female",1945,"yes","yes","yes","no","yes","No"," Control",1853,"No",33340,2,21,0.2380952,0.952381,61,0
"321436","female",1957,"yes","yes","yes","yes","no","No"," Control",9304,"Yes",167465,3,21,0.047619,0.952381,49,0
"62207","female",1955,"yes","yes","yes","no","yes","No"," Control",1793,"Yes",32270,2,21,0.2857143,1,51,0
"12685","female",1962,"yes","yes","yes","yes","no","Yes"," Control",371,"No",6678,1,21,0.2857143,1,44,0
"188993","male",1945,"yes","yes","yes","yes","yes","No"," Control",5486,"Yes",98742,1,21,0.3809524,0.952381,61,0
"95800","female",1965,"no","yes","yes","no","no","No"," Control",2759,"No",49658,1,21,0.1428571,0.8571429,41,0
"231631","male",1974,"yes","yes","yes","no","yes","No"," Control",6747,"No",121441,2,21,0.1904762,0.8571429,32,0
"112722","female",1951,"yes","yes","yes","no","no","Yes"," Neighbors",3245,"Yes",58407,1,21,0.2857143,0.8095238,55,1
"168421","male",1953,"no","yes","yes","no","yes","No"," Control",4883,"No",87884,1,21,0.3333333,0.7619048,53,0
"240428","female",1967,"no","no","yes","no","no","Yes"," Control",7005,"No",126073,2,21,0.4761905,0.9047619,39,0
"195677","male",1955,"yes","yes","yes","no","yes","No"," Control",5681,"No",102247,2,21,0.2857143,1,51,0
"342441","female",1951,"yes","yes","yes","no","no","No"," Control",9949,"No",179077,2,21,0.2857143,0.9047619,55,0
"270727","male",1963,"yes","yes","yes","no","no","No"," Control",7871,"No",141670,3,21,0.5238096,0.9047619,43,0
"246836","male",1985,"no","no","yes","no","no","Yes"," Control",7184,"No",129308,3,21,0.4761905,1,21,0
"120656","female",1962,"yes","yes","yes","yes","no","No"," Neighbors",3476,"No",62564,3,21,0.5238096,1,44,1
"56444","male",1959,"yes","yes","yes","yes","yes","No"," Control",1630,"No",29337,2,21,0,1,47,0
"200004","male",1953,"yes","yes","yes","yes","yes","Yes"," Neighbors",5809,"No",104547,3,21,0.3333333,0.8571429,53,1
"287827","female",1961,"yes","yes","yes","no","yes","Yes"," Control",8339,"Yes",150098,2,21,0.6190476,0.7619048,45,0
"55044","female",1949,"no","yes","yes","no","no","No"," Control",1591,"No",28621,2,21,0.1428571,1,57,0
"195024","female",1959,"no","yes","yes","no","no","No"," Control",5662,"Yes",101910,2,21,0.3333333,0.8571429,47,0
"67026","female",1957,"yes","yes","yes","no","yes","No"," Control",1932,"No",34773,2,21,0.047619,0.952381,49,0
"220013","male",1928,"yes","yes","yes","yes","no","No"," Control",6403,"No",115253,1,21,0.3809524,1,78,0
"312096","male",1957,"yes","yes","yes","no","no","Yes"," Control",9041,"No",162732,2,21,0.6666667,0.8095238,49,0
"305213","male",1949,"yes","yes","yes","yes","yes","No"," Control",8842,"No",159141,3,21,0.3333333,0.952381,57,0
"257008","male",1983,"no","no","yes","no","no","No"," Control",7480,"No",134627,4,21,0.3333333,0.9047619,23,0
"228870","female",1928,"yes","yes","yes","no","yes","No"," Control",6666,"Yes",119982,2,21,0.4761905,1,78,0
"49130","female",1946,"yes","yes","yes","no","no","No"," Control",1419,"Yes",25536,2,21,0.5714286,1,60,0
"150171","male",1981,"yes","no","yes","no","no","No"," Control",4345,"No",78193,3,21,0.0952381,0.9047619,25,0
"125462","male",1963,"yes","yes","yes","yes","yes","No"," Control",3617,"Yes",65089,2,21,0,0.9047619,43,0
"322873","male",1944,"yes","yes","yes","no","yes","No"," Control",9348,"No",168255,2,21,0.1428571,0.8571429,62,0
"43802","female",1953,"yes","yes","yes","no","no","Yes"," Control",1270,"Yes",22846,1,21,0.047619,0.8571429,53,0
"184715","female",1928,"yes","yes","yes","yes","no","Yes"," Control",5359,"Yes",96459,1,21,0.2857143,0.8095238,78,0
"202798","female",1964,"yes","no","yes","yes","no","Yes"," Neighbors",5893,"No",106061,3,21,0.5714286,1,42,1
"267696","male",1956,"yes","yes","yes","no","no","No"," Control",7787,"No",140155,3,21,0.1904762,0.8095238,50,0
"160046","female",1944,"yes","yes","yes","yes","yes","No"," Control",4639,"No",83492,3,21,0,0.8571429,62,0
"280679","male",1960,"yes","yes","yes","no","no","No"," Control",8149,"No",146682,2,21,0.1428571,1,46,0
"37388","female",1961,"yes","yes","yes","no","no","Yes"," Control",1083,"No",19494,2,21,0.3333333,0.9047619,45,0
"28823","female",1956,"yes","yes","yes","no","no","No"," Control",841,"No",15129,2,21,0.2857143,0.9047619,50,0
"283668","female",1956,"yes","yes","yes","no","no","Yes"," Control",8227,"No",148081,2,21,0.5238096,0.9047619,50,0
"282727","male",1944,"yes","yes","yes","no","yes","No"," Control",8203,"No",147638,1,21,0.0952381,0.9047619,62,0
"271049","female",1953,"yes","yes","yes","no","yes","No"," Control",7879,"No",141816,3,21,0,0.8571429,53,0
"92577","male",1955,"yes","yes","yes","no","yes","Yes"," Control",2668,"No",48007,1,21,0.4285714,0.952381,51,0
"266513","female",1950,"yes","yes","yes","no","no","No"," Control",7753,"No",139546,3,21,0.3333333,0.952381,56,0
"304813","male",1947,"yes","yes","yes","yes","no","Yes"," Control",8830,"Yes",158926,1,21,0.6666667,1,59,0
"322714","male",1982,"no","no","yes","no","no","No"," Neighbors",9343,"No",168161,2,21,0.3809524,0.952381,24,1
"305742","male",1983,"no","no","yes","no","no","No"," Control",8857,"No",159413,4,21,0.6666667,0.952381,23,0
"326125","female",1962,"yes","yes","yes","no","yes","No"," Control",9450,"No",170091,2,21,0.2857143,0.8095238,44,0
"26220","female",1950,"yes","yes","yes","no","yes","Yes"," Control",768,"No",13812,3,21,0.3809524,1,56,0
"148919","male",1947,"yes","yes","yes","yes","no","No"," Control",4306,"No",77507,2,21,0.047619,0.952381,59,0
"115968","male",1941,"yes","yes","yes","yes","yes","No"," Control",3340,"No",60118,2,21,0.047619,0.952381,65,0
"153423","female",1946,"yes","yes","yes","no","yes","No"," Control",4441,"No",79928,2,21,0.047619,0.952381,60,0
"25133","female",1957,"yes","yes","yes","no","no","No"," Control",738,"No",13279,2,21,0.3333333,1,49,0
"291084","male",1954,"yes","yes","yes","yes","no","Yes"," Neighbors",8433,"Yes",151793,2,21,0.4285714,0.9047619,52,1
"271551","female",1949,"yes","yes","yes","no","yes","No"," Control",7893,"No",142070,2,21,0,1,57,0
"178637","male",1923,"yes","yes","yes","no","no","No"," Control",5181,"Yes",93257,2,21,0.4761905,0.9047619,83,0
"63771","female",1984,"no","no","yes","no","no","No"," Control",1838,"No",33072,3,21,0.4761905,1,22,0
"25721","female",1945,"yes","yes","yes","no","yes","No"," Control",755,"No",13575,2,21,0.1904762,0.952381,61,0
"326523","female",1984,"no","yes","yes","no","no","No"," Control",9462,"No",170313,3,21,0.1904762,0.8571429,22,0
"226594","male",1918,"yes","yes","yes","yes","yes","No"," Control",6599,"Yes",118766,2,21,0.4285714,0.9047619,88,0
"41025","male",1941,"yes","yes","yes","yes","no","No"," Control",1190,"No",21404,2,21,0.3333333,0.952381,65,0
"329008","female",1978,"yes","yes","yes","no","yes","Yes"," Control",9538,"No",171670,1,21,0.4761905,0.8571429,28,0
"233391","male",1964,"yes","yes","yes","no","no","Yes"," Neighbors",6800,"Yes",122388,2,21,0.3333333,0.7142857,42,1
"38325","male",1956,"yes","yes","yes","no","no","Yes"," Control",1111,"No",19996,2,21,0.4285714,0.9047619,50,0
"140357","male",1971,"yes","yes","yes","no","no","No"," Control",4052,"No",72925,2,21,0.2380952,0.952381,35,0
"128267","female",1944,"yes","yes","yes","no","no","Yes"," Control",3698,"No",66564,2,21,0.1428571,0.8571429,62,0
"138938","male",1935,"yes","yes","yes","yes","yes","No"," Control",4010,"No",72180,2,21,0.2857143,1,71,0
"337023","female",1965,"yes","yes","yes","no","no","Yes"," Control",9782,"No",176065,1,21,0.5238096,0.952381,41,0
"340088","female",1983,"no","yes","yes","no","yes","Yes"," Control",9876,"No",177760,1,21,0.2380952,0.8095238,23,0
"173007","male",1963,"yes","yes","yes","no","yes","Yes"," Control",5014,"No",90252,2,21,0.1904762,0.9047619,43,0
"341114","female",1951,"yes","yes","yes","no","no","Yes"," Control",9908,"Yes",178327,3,21,0.1904762,0.8571429,55,0
"47622","male",1979,"no","no","yes","no","no","No"," Control",1377,"No",24775,2,21,0.047619,0.952381,27,0
"220893","female",1960,"yes","yes","yes","no","yes","Yes"," Control",6430,"Yes",115737,2,15,0.4,1,46,0
"233220","female",1938,"yes","no","yes","yes","yes","Yes"," Control",6795,"Yes",122296,2,21,0.3333333,0.8571429,68,0
"27259","male",1953,"yes","yes","yes","no","no","No"," Control",797,"No",14332,3,21,0.047619,1,53,0
"68968","male",1956,"yes","yes","yes","no","yes","No"," Control",1989,"No",35788,1,21,0.5238096,0.9047619,50,0
"301225","female",1913,"yes","yes","yes","no","yes","Yes"," Control",8721,"No",156978,3,21,0.6666667,0.9047619,93,0
"60933","male",1982,"no","no","yes","no","no","No"," Control",1757,"No",31611,3,21,0.2857143,0.952381,24,0
"104286","male",1968,"yes","no","yes","no","no","No"," Control",3000,"No",53987,2,21,0.1428571,1,38,0
"135680","male",1947,"yes","yes","yes","no","no","Yes"," Control",3916,"No",70476,2,21,0.0952381,0.9047619,59,0
"324234","male",1949,"yes","yes","yes","yes","no","Yes"," Control",9390,"No",169015,3,21,0.6190476,0.9047619,57,0
"25207","female",1935,"yes","yes","yes","no","no","Yes"," Control",740,"Yes",13314,2,21,0.3809524,1,71,0
"145048","female",1940,"yes","yes","yes","no","yes","No"," Neighbors",4194,"Yes",75476,2,21,0.2380952,0.8095238,66,1
"297652","female",1937,"yes","yes","yes","no","yes","No"," Control",8625,"No",155237,4,21,0.0952381,0.952381,69,0
"184680","female",1952,"yes","yes","yes","no","no","Yes"," Control",5358,"No",96443,2,21,0.3809524,0.952381,54,0
"102875","female",1964,"yes","yes","yes","no","yes","No"," Control",2960,"No",53275,2,21,0.1904762,0.9047619,42,0
"129730","female",1985,"no","no","yes","no","no","No"," Control",3740,"No",67314,3,21,0.2380952,0.952381,21,0
"307900","female",1983,"no","no","yes","no","no","No"," Control",8918,"No",160518,3,21,0.3809524,1,23,0
"317117","male",1966,"yes","yes","yes","no","yes","Yes"," Control",9180,"No",165231,2,21,0.5714286,0.952381,40,0
"96328","female",1950,"yes","yes","yes","yes","yes","Yes"," Neighbors",2775,"Yes",49937,4,21,0.2857143,0.9047619,56,1
"304643","male",1946,"yes","yes","yes","no","no","No"," Control",8825,"No",158836,1,21,0.4285714,0.9047619,60,0
"4944","female",1959,"yes","yes","yes","no","no","No"," Control",147,"No",2644,3,21,0.0952381,1,47,0
"48378","male",1957,"yes","yes","yes","no","yes","No"," Control",1398,"Yes",25155,2,21,0.047619,0.9047619,49,0
"36870","female",1967,"yes","yes","yes","no","yes","Yes"," Neighbors",1069,"No",19234,2,21,0.3809524,0.952381,39,1
"17336","female",1954,"yes","yes","yes","no","yes","No"," Control",509,"Yes",9153,4,21,0.1428571,0.9047619,52,0
"104915","female",1967,"yes","yes","yes","yes","no","Yes"," Control",3019,"Yes",54328,2,21,0.2380952,0.952381,39,0
"308752","female",1954,"yes","yes","yes","no","no","Yes"," Control",8942,"Yes",160948,4,21,0.4285714,1,52,0
"82540","female",1964,"yes","yes","yes","no","yes","Yes"," Control",2374,"Yes",42719,2,21,0.1904762,0.952381,42,0
"344066","male",1944,"yes","yes","yes","yes","no","Yes"," Control",10000,"Yes",179989,1,21,0.5714286,0.7619048,62,0
"8136","female",1981,"yes","yes","yes","no","no","Yes"," Control",240,"No",4309,4,21,0.2857143,0.9047619,25,0
"95121","female",1950,"yes","yes","yes","no","no","Yes"," Control",2739,"No",49298,2,21,0.2380952,0.952381,56,0
"163423","female",1958,"yes","yes","yes","no","no","Yes"," Control",4739,"Yes",85297,2,21,0.4285714,0.952381,48,0
"334770","female",1955,"yes","yes","yes","no","no","No"," Control",9712,"No",174816,2,21,0.4761905,0.9047619,51,0
"280571","male",1934,"no","yes","yes","no","no","Yes"," Control",8147,"No",146632,2,21,0.1428571,0.6666667,72,0
"124495","male",1945,"yes","yes","yes","no","no","No"," Control",3588,"Yes",64577,2,21,0.0952381,0.952381,61,0
"96799","female",1934,"yes","yes","yes","yes","no","No"," Control",2788,"No",50174,2,21,0.2857143,0.952381,72,0
"137406","male",1932,"yes","yes","yes","yes","no","No"," Control",3965,"Yes",71366,2,21,0.2380952,0.9047619,74,0
"302487","male",1963,"yes","yes","yes","no","yes","No"," Control",8758,"No",157637,2,21,0.5714286,1,43,0
"338381","male",1955,"yes","yes","yes","no","no","No"," Control",9824,"No",176823,1,21,0.3809524,0.8095238,51,0
"253824","female",1957,"yes","no","yes","no","yes","Yes"," Control",7385,"Yes",132926,1,21,0.5238096,0.952381,49,0
"97117","male",1962,"yes","no","yes","no","no","No"," Control",2797,"No",50333,2,21,0.2380952,0.8571429,44,0
"164552","female",1956,"yes","yes","yes","no","no","Yes"," Control",4771,"No",85861,2,21,0.3809524,0.952381,50,0
"46085","male",1939,"yes","yes","yes","yes","no","Yes"," Control",1333,"No",23990,2,21,0.1428571,0.952381,67,0
"331180","female",1974,"no","yes","yes","no","yes","Yes"," Control",9605,"No",172873,2,21,0.3333333,0.952381,32,0
"47756","male",1967,"yes","yes","yes","no","yes","No"," Control",1380,"Yes",24839,2,21,0.047619,1,39,0
"175240","female",1956,"yes","yes","yes","yes","no","No"," Control",5083,"No",91479,2,21,0.1428571,0.952381,50,0
"185302","female",1956,"yes","yes","yes","no","yes","Yes"," Neighbors",5378,"No",96787,3,21,0.3809524,0.952381,50,1
"10691","male",1948,"no","yes","yes","yes","no","No"," Neighbors",312,"No",5600,2,21,0.1904762,0.8095238,58,1
"180486","male",1958,"yes","yes","yes","yes","no","Yes"," Neighbors",5236,"No",94235,2,21,0.1428571,0.952381,48,1
"6964","female",1966,"no","yes","yes","no","yes","Yes"," Control",206,"Yes",3694,1,21,0.5714286,0.9047619,40,0
"166787","male",1959,"yes","yes","yes","no","yes","No"," Control",4836,"No",87031,2,21,0.3333333,1,47,0
"239511","female",1958,"yes","yes","yes","yes","no","Yes"," Neighbors",6979,"No",125621,2,21,0.4285714,0.9047619,48,1
"287814","male",1970,"yes","yes","yes","yes","no","Yes"," Control",8339,"No",150092,2,21,0.5238096,0.8095238,36,0
"316661","male",1963,"yes","yes","yes","no","no","No"," Control",9167,"No",164996,2,21,0.6190476,1,43,0
"327638","male",1955,"no","no","yes","no","no","Yes"," Control",9497,"Yes",170942,3,21,0.5714286,0.9047619,51,0
"17422","female",1956,"yes","yes","yes","yes","yes","No"," Control",511,"No",9194,1,21,0.0952381,0.7142857,50,0
"238811","male",1946,"yes","yes","yes","yes","no","No"," Neighbors",6960,"No",125273,2,21,0.3333333,0.952381,60,1
"219360","female",1951,"yes","yes","yes","no","no","Yes"," Control",6384,"Yes",114908,2,21,0.4761905,0.7619048,55,0
"176466","female",1969,"no","yes","yes","no","yes","Yes"," Control",5118,"Yes",92116,1,21,0.0952381,0.5238096,37,0
"11119","female",1976,"yes","yes","yes","no","yes","Yes"," Control",324,"Yes",5824,2,21,0.1904762,0.952381,30,0
"309354","male",1949,"yes","yes","yes","no","no","Yes"," Control",8959,"Yes",161253,4,21,0.2857143,1,57,0
"90751","female",1953,"yes","yes","yes","no","yes","No"," Control",2615,"No",47068,4,21,0.1428571,0.952381,53,0
"113376","male",1961,"yes","yes","yes","no","no","Yes"," Neighbors",3265,"Yes",58758,3,21,0.2857143,0.7142857,45,1
"261452","male",1952,"yes","yes","yes","yes","no","No"," Control",7606,"Yes",136895,3,21,0.1904762,0.8095238,54,0
"34514","male",1979,"yes","no","yes","no","no","No"," Control",1002,"No",18030,3,21,0.1428571,1,27,0
"162855","male",1952,"yes","yes","yes","no","yes","No"," Control",4722,"No",84991,3,21,0.2380952,0.952381,54,0
"93643","female",1966,"yes","yes","yes","yes","yes","Yes"," Control",2698,"No",48550,1,21,0.5238096,0.8571429,40,0
"190919","male",1970,"yes","yes","yes","yes","no","Yes"," Control",5543,"No",99773,2,19,0.4210526,0.9473684,36,0
"331292","male",1973,"no","yes","yes","no","no","Yes"," Control",9608,"No",172941,2,21,0.4761905,0.8571429,33,0
"1086","male",1984,"no","no","yes","no","no","No"," Control",33,"No",585,4,21,0.1904762,0.8571429,22,0
"97539","female",1965,"no","yes","yes","no","yes","No"," Control",2809,"Yes",50554,1,21,0.3333333,0.952381,41,0
"270042","male",1959,"yes","no","yes","no","no","No"," Control",7853,"No",141338,2,21,0.2380952,0.9047619,47,0
"69311","male",1949,"yes","yes","yes","yes","yes","No"," Control",1999,"No",35970,2,21,0.7142857,1,57,0
"343454","male",1964,"no","yes","yes","no","no","Yes"," Control",9981,"No",179645,2,21,0.5714286,1,42,0
"68234","male",1953,"yes","yes","yes","no","yes","No"," Neighbors",1967,"Yes",35399,1,21,0.3333333,0.9047619,53,1
"239306","female",1967,"yes","yes","yes","no","no","No"," Control",6974,"No",125523,2,21,0.4761905,1,39,0
"163261","male",1954,"yes","yes","yes","no","no","No"," Control",4735,"Yes",85213,2,21,0.2380952,0.952381,52,0
"230425","female",1950,"yes","yes","yes","no","yes","No"," Control",6713,"No",120819,2,21,0.2857143,0.9047619,56,0
"8350","female",1948,"yes","yes","yes","yes","no","No"," Control",246,"Yes",4419,2,21,0.1428571,0.952381,58,0
"180580","male",1961,"yes","yes","yes","no","no","Yes"," Control",5238,"No",94283,2,21,0.3333333,1,45,0
"288525","female",1943,"yes","yes","yes","no","no","No"," Neighbors",8359,"No",150456,2,21,0.1904762,0.952381,63,1
"37218","male",1958,"yes","yes","yes","yes","yes","No"," Control",1079,"No",19408,2,21,0.4285714,0.952381,48,0
"108498","male",1951,"yes","yes","yes","no","no","Yes"," Control",3121,"No",56175,2,21,0.2857143,1,55,0
"145518","female",1962,"yes","yes","yes","no","yes","No"," Neighbors",4207,"No",75724,2,21,0.0952381,0.8571429,44,1
"298993","female",1949,"yes","yes","yes","no","no","No"," Control",8660,"No",155878,3,21,0.1904762,0.9047619,57,0
"25897","male",1969,"no","no","yes","no","no","No"," Control",760,"No",13665,3,21,0.2380952,0.952381,37,0
"36008","female",1929,"yes","yes","yes","yes","no","Yes"," Neighbors",1045,"No",18806,2,21,0.2857143,0.7142857,77,1
"12131","male",1958,"yes","yes","yes","no","yes","Yes"," Control",354,"No",6367,2,21,0.2380952,0.9047619,48,0
"192980","female",1943,"yes","yes","yes","no","no","No"," Control",5602,"No",100827,2,21,0.3333333,0.952381,63,0
"36376","male",1964,"yes","yes","yes","no","no","No"," Control",1055,"No",18989,2,21,0.1428571,0.9047619,42,0
"5304","male",1925,"yes","yes","yes","no","no","Yes"," Control",157,"No",2825,2,21,0.4285714,0.9047619,81,0
"255954","male",1947,"yes","yes","yes","no","no","Yes"," Control",7446,"No",134021,2,21,0.6190476,0.952381,59,0
"15928","female",1925,"yes","yes","yes","yes","yes","No"," Control",467,"Yes",8404,2,21,0.5714286,0.8095238,81,0
"295110","female",1966,"yes","yes","yes","no","no","No"," Control",8551,"No",153915,2,21,0.1904762,1,40,0
"320521","male",1963,"yes","yes","yes","no","no","Yes"," Control",9277,"No",166974,2,21,0.6190476,0.952381,43,0
"341642","male",1960,"yes","yes","yes","no","yes","No"," Control",9925,"No",178636,2,21,0.2857143,1,46,0
"45277","female",1982,"no","no","yes","no","no","No"," Control",1311,"Yes",23582,3,21,0.047619,0.952381,24,0
"69963","female",1949,"yes","yes","yes","no","yes","Yes"," Control",2017,"Yes",36304,3,21,0.5238096,0.952381,57,0
"306459","male",1963,"yes","yes","yes","no","no","Yes"," Control",8876,"Yes",159765,1,21,0.1904762,0.952381,43,0
"84723","male",1962,"yes","yes","yes","no","no","Yes"," Control",2438,"No",43875,2,21,0.4285714,1,44,0
"48885","male",1961,"no","no","yes","no","no","No"," Control",1412,"No",25405,2,21,0.2857143,0.952381,45,0
"271261","male",1958,"yes","yes","yes","no","no","Yes"," Control",7885,"No",141923,2,21,0.3333333,1,48,0
"83329","male",1961,"yes","yes","yes","yes","yes","No"," Control",2396,"No",43125,2,21,0,0.952381,45,0
"254449","female",1934,"yes","yes","yes","yes","yes","Yes"," Control",7403,"No",133250,2,21,0.5714286,0.952381,72,0
"313537","male",1942,"yes","yes","yes","no","no","Yes"," Control",9080,"Yes",163436,3,21,0.4761905,1,64,0
"86066","male",1980,"yes","no","yes","no","no","No"," Control",2476,"No",44566,3,21,0.3809524,0.952381,26,0
"100396","female",1951,"yes","yes","yes","yes","yes","Yes"," Control",2891,"No",52022,5,21,0.3809524,0.8571429,55,0
"323672","male",1942,"no","no","yes","yes","no","Yes"," Control",9373,"No",168700,2,21,0.6666667,1,64,0
"137387","male",1982,"yes","no","yes","no","no","No"," Control",3965,"No",71356,3,21,0.1904762,0.9047619,24,0
"239238","male",1950,"yes","yes","yes","no","no","No"," Control",6972,"No",125488,2,21,0.6190476,1,56,0
"279703","male",1938,"yes","yes","yes","no","no","No"," Control",8122,"Yes",146188,1,20,0.2,0.9,68,0
"261265","female",1954,"yes","yes","yes","no","no","No"," Control",7600,"Yes",136794,1,21,0.0952381,0.8095238,52,0
"46373","male",1963,"yes","yes","yes","no","no","No"," Neighbors",1342,"Yes",24139,2,21,0.1428571,1,43,1
"236120","male",1963,"yes","yes","yes","no","no","No"," Control",6882,"No",123865,1,21,0.2857143,0.6666667,43,0
"74271","male",1961,"yes","yes","yes","no","yes","Yes"," Control",2140,"No",38507,2,21,0.3333333,1,45,0
"85745","female",1974,"yes","yes","yes","yes","no","No"," Control",2468,"No",44409,2,21,0.2857143,1,32,0
"795","male",1950,"yes","yes","yes","no","yes","Yes"," Control",25,"Yes",439,2,21,0.0952381,0.9047619,56,0
"267000","male",1982,"yes","yes","yes","no","no","No"," Control",7767,"No",139793,3,21,0.3333333,0.9047619,24,0
"327810","female",1959,"yes","yes","yes","yes","yes","No"," Control",9503,"No",171040,3,21,0.6666667,0.9047619,47,0
"179674","male",1950,"yes","yes","yes","no","no","No"," Control",5212,"No",93810,2,21,0.2380952,0.8571429,56,0
"329141","male",1984,"no","yes","yes","no","no","No"," Neighbors",9542,"No",171741,3,21,0.1904762,0.8571429,22,1
"234732","female",1923,"yes","yes","yes","no","no","No"," Control",6841,"No",123125,2,21,0.5714286,0.9047619,83,0
"177223","male",1927,"yes","yes","yes","yes","yes","No"," Control",5140,"Yes",92513,2,21,0.1904762,0.8095238,79,0
"192268","male",1956,"yes","yes","yes","yes","yes","No"," Control",5582,"No",100472,3,21,0.0952381,0.952381,50,0
"157706","male",1973,"yes","yes","yes","no","yes","No"," Neighbors",4569,"Yes",82225,2,21,0.0952381,1,33,1
"131224","male",1940,"yes","yes","yes","yes","yes","Yes"," Control",3785,"Yes",68128,2,21,0.5238096,0.952381,66,0
