"","id","listing_url","name","host_id","host_name","host_since","host_response_rate","host_is_superhost","host_acceptance_rate","host_listings_count","host_verifications","host_has_profile_pic","neighbourhood_cleansed","latitude","longitude","property_type","room_type","bathrooms","bedrooms","beds","price","has_availability","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","reviews_per_month"
"19",295275,"https://www.airbnb.com/rooms/295275","Stylish 3/2/2 with large backyard",1282837,"Joseph","2011-10-12","100%","t","92%",2,"['email', 'phone']","t",78745,30.19037,-97.79003,"Entire home","Entire home/apt",2,3,3,191,"t",4.86,4.89,4.75,4.95,4.98,4.67,4.73,0.45
"20",50318,"https://www.airbnb.com/rooms/50318","Scooby Doo House",12409,"Flip","2009-04-06","100%","t","77%",2,"['email', 'phone']","t",78705,30.28588,-97.75145,"Entire condo","Entire home/apt",1,2,3,75,"t",4.89,4.75,4.72,5,4.97,4.81,4.78,0.21
"21",300574,"https://www.airbnb.com/rooms/300574","Historic So Austin RetroHipGroovy LoftCottage78704",167892,"Veronica","2010-07-15","100%","t","100%",1,"['email', 'phone']","t",78704,30.25508,-97.75767,"Entire guesthouse","Entire home/apt",1,1,3,135,"t",4.89,4.89,4.85,4.95,4.93,4.95,4.78,3.17
"22",57187,"https://www.airbnb.com/rooms/57187","Zilker's Peaceful Haven-Fun, Funky, and Colorful",272156,"Lois","2010-10-27","100%","t","100%",2,"['email', 'phone']","t",78704,30.25756,-97.76995,"Entire guesthouse","Entire home/apt",1,1,3,83,"t",4.91,4.94,4.93,4.96,4.96,4.95,4.82,6.37
"23",304808,"https://www.airbnb.com/rooms/304808","Spanish Hacienda mile from downtown",1566930,"Chris","2012-01-04","100%","t","100%",1,"['email', 'phone']","t",78702,30.2733,-97.7269,"Private room in home","Private room",1,1,1,80,"t",4.83,4.79,4.88,4.93,4.88,4.76,4.81,2.53
"24",304866,"https://www.airbnb.com/rooms/304866","Big cute clean Casita in SxSAustin TX!",1568741,"Jim O'","2012-01-05","100%","t","98%",18,"['email', 'phone']","t",78745,30.20943,-97.77117,"Entire guesthouse","Entire home/apt",1,1,2,89,"t",4.83,4.82,4.73,4.89,4.87,4.8,4.81,1.26
"25",479197,"https://www.airbnb.com/rooms/479197","Funky SoFi Condo! Walk downtown! Private bathroom",1918269,"Amanda","2012-03-13","100%","t","81%",3,"['email', 'phone', 'work_email']","t",78704,30.258,-97.75195,"Private room in condo","Private room",1,1,1,62,"t",4.94,4.94,4.8,5,5,4.83,4.8,0.24
"27",69303,"https://www.airbnb.com/rooms/69303","Zilker Park Townhome (A Barton Springs Oasis)",272156,"Lois","2010-10-27","100%","t","100%",2,"['email', 'phone']","t",78704,30.26146,-97.77276,"Entire condo","Entire home/apt",1.5,1,2,151,"t",4.96,4.95,4.96,5,4.99,4.94,4.83,1.54
"28",315239,"https://www.airbnb.com/rooms/315239","Very convenient for SxSW",1617870,"John","2012-01-17","N/A","f","N/A",1,"['email', 'phone']","t",78745,30.21467,-97.77901,"Entire home","Entire home/apt",2,3,3,600,"t",5,5,5,5,5,5,5,0.01
"29",485360,"https://www.airbnb.com/rooms/485360","Downtown Condo with Austin's skyline view!",2402591,"Jane","2012-05-17","100%","f","93%",1,"['email', 'phone']","t",78702,30.26778,-97.72849,"Entire condo","Entire home/apt",1,0,1,149,"t",4.96,4.96,4.97,4.99,5,4.97,4.88,1.43
"30",501861,"https://www.airbnb.com/rooms/501861","Downtown SoCo Guest House",2476440,"Michelle","2012-05-27","100%","t","87%",3,"['email', 'phone', 'work_email']","t",78704,30.253061,-97.745712,"Entire guesthouse","Entire home/apt",1,2,4,302,"t",4.96,4.92,4.96,4.98,4.99,4.98,4.79,1.39
"32",510168,"https://www.airbnb.com/rooms/510168","The Retreat",793021,"Steve","2011-07-08","100%","t","100%",2,"['email', 'phone', 'work_email']","t",78733,30.34253,-97.8616,"Entire home","Entire home/apt",2,3,3,231,"t",4.93,4.93,4.83,4.98,4.95,4.9,4.83,1.09
"35",319759,"https://www.airbnb.com/rooms/319759","Swanky Townhome+Rooftop | Downtown | 6th Street!",814883,"Kristen","2011-07-13","100%","t","99%",20,"['email', 'phone', 'work_email']","t",78702,30.2656766,-97.7332943,"Entire townhouse","Entire home/apt",3.5,5,9,885,"t",4.83,4.81,4.77,4.91,4.92,4.74,4.67,2.28
"37",319894,"https://www.airbnb.com/rooms/319894","The Perfect Austin Modern Home",1640172,"Gary","2012-01-22","100%","f","100%",2,"['email', 'phone', 'work_email']","t",78724,30.28354,-97.64966,"Entire home","Entire home/apt",2.5,3,3,187,"t",4.86,4.89,4.72,4.98,4.97,4.83,4.88,1.46
"38",321069,"https://www.airbnb.com/rooms/321069","4/3 Central Austin Mid-Century Modern",1644741,"Liz","2012-01-23","100%","f","N/A",2,"['email', 'phone']","t",78704,30.25398,-97.77856,"Entire home","Entire home/apt",3,4,3,850,"t",NA,NA,NA,NA,NA,NA,NA,NA
"39",70812,"https://www.airbnb.com/rooms/70812","1 Bedroom Apt; Above the Studio",268988,"Stephanie","2010-10-23","100%","f","87%",1,"['email', 'phone']","t",78704,30.24648,-97.74913,"Entire guesthouse","Entire home/apt",1,1,1,165,"t",4.89,4.93,4.89,4.98,4.92,4.95,4.81,1.15
"40",517430,"https://www.airbnb.com/rooms/517430","Modern Upper Level Apartment Minutes from Downtown",2546775,"Rice","2012-06-04","100%","t","100%",1,"['email', 'phone', 'work_email']","t",78705,30.29961,-97.73449,"Entire rental unit","Entire home/apt",1,1,2,149,"t",4.99,4.99,5,5,4.97,4.97,4.95,1.48
"43",73005,"https://www.airbnb.com/rooms/73005","3BR Convenient Gated Townhome w/ Pool Access!",128514,"Vivian","2010-05-20","100%","f","83%",1,"['email', 'phone', 'work_email']","t",78727,30.41419,-97.73183,"Entire townhouse","Entire home/apt",2.5,2,4,297,"t",4.89,4.88,4.74,4.93,4.95,4.79,4.81,0.27
"45",324480,"https://www.airbnb.com/rooms/324480","Charming Central Austin Apartment",1660476,"Mark","2012-01-27","N/A","f","0%",2,"['email', 'phone']","t",78705,30.29905,-97.73881,"Entire rental unit","Entire home/apt",1,1,1,99,"t",5,5,5,5,5,5,5,0.05
"46",522136,"https://www.airbnb.com/rooms/522136","Downtown Oasis - Quiet Retreat",2567934,"Alexis","2012-06-06","100%","t","100%",1,"['email', 'phone']","t",78701,30.27936,-97.74362,"Entire rental unit","Entire home/apt",1,1,2,130,"t",4.96,4.98,4.96,4.99,4.99,4.89,4.9,3.6
"47",73289,"https://www.airbnb.com/rooms/73289","Simple 2/2 in Central Austin",382510,"Christina","2011-02-08","100%","t","73%",2,"['email', 'phone']","t",78705,30.29016,-97.74478,"Entire rental unit","Entire home/apt",2,2,2,116,"t",4.88,4.9,4.83,4.93,4.93,4.92,4.91,0.38
"48",525231,"https://www.airbnb.com/rooms/525231","Brentwood Guest House, 875 sq ft, Fenced Yard",2507231,"Kris","2012-05-31","100%","t","100%",1,"['email', 'phone']","t",78757,30.34024,-97.73739,"Entire guesthouse","Entire home/apt",1,2,2,140,"t",4.9,4.93,4.87,4.94,4.94,4.83,4.84,0.89
"49",325889,"https://www.airbnb.com/rooms/325889","Fun House, Fantastic Location, Awesome Jacuzzi",1666874,"Brian","2012-01-29","100%","t","100%",1,"['email', 'phone']","t",78704,30.24583,-97.75472,"Entire home","Entire home/apt",2,5,6,599,"t",4.77,4.72,4.64,4.94,4.96,4.95,4.67,0.69
"50",329172,"https://www.airbnb.com/rooms/329172","Hillside designer home,10 min.dwntn",1680871,"Janet","2012-01-31","100%","f","20%",1,"['email', 'phone']","t",78746,30.30085,-97.80794,"Entire home","Entire home/apt",2,3,3,495,"t",5,5,5,5,5,5,4.83,0.05
"51",74318,"https://www.airbnb.com/rooms/74318","Private Guest House 78704",387918,"Amy & Justin","2011-02-11","75%","f","88%",3,"['email', 'phone']","t",78704,30.24473,-97.77923,"Entire home","Entire home/apt",1,1,1,139,"t",4.82,4.86,4.84,4.97,4.92,4.86,4.8,1.57
"52",528338,"https://www.airbnb.com/rooms/528338","Suite Spot (Zilker)",2595932,"Amber","2012-06-10","100%","t","98%",2,"['email', 'phone']","t",78704,30.2619,-97.76328,"Entire rental unit","Entire home/apt",1,1,1,99,"t",4.91,4.93,4.92,4.97,4.97,4.95,4.89,3.8
"54",329306,"https://www.airbnb.com/rooms/329306","Urban Homestead, 5 minutes to downtown",880571,"Angel","2011-07-27","100%","t","98%",5,"['email', 'phone']","t",78702,30.27232,-97.72579,"Private room in home","Private room",1,1,1,59,"t",4.84,4.86,4.82,4.96,4.93,4.76,4.79,4.29
"55",75957,"https://www.airbnb.com/rooms/75957","Charming 1 Bedroom Cottage Apt In Tarrytown",404260,"Kelly","2011-02-22","100%","f","89%",1,"['email', 'phone', 'work_email']","t",78703,30.29033,-97.76886,"Entire guesthouse","Entire home/apt",1,1,2,118,"t",4.97,4.97,4.97,4.99,4.98,4.96,4.95,2.87
"57",76501,"https://www.airbnb.com/rooms/76501","Upstairs Flat in Central Austin",408534,"Kevin And Bob","2011-02-24","100%","t","84%",2,"['email', 'phone']","t",78722,30.29192,-97.71939,"Entire guest suite","Entire home/apt",1,1,1,125,"t",4.96,4.96,4.88,4.99,4.99,4.9,4.95,1.46
"58",333442,"https://www.airbnb.com/rooms/333442","Rare Secluded 1940s Cool Blue Private Pool",1698318,"Virginia","2012-02-04","100%","t","100%",1,"['email', 'phone']","t",78703,30.31267,-97.76641,"Entire home","Entire home/apt",3,5,5,238,"t",4.84,4.86,4.73,4.97,4.97,4.92,4.77,1.26
"59",542124,"https://www.airbnb.com/rooms/542124","Live Like a Local!",2457470,"Sharon","2012-05-24","100%","","100%",2,"['email', 'phone', 'work_email']","t",78702,30.27514,-97.71954,"Private room in home","Private room",1,1,1,105,"t",4.98,4.97,5,4.98,5,4.97,4.92,0.44
"61",550221,"https://www.airbnb.com/rooms/550221","Inridge Inn in South Austin",543424,"Jill","2011-04-28","100%","t","80%",1,"['email', 'phone']","t",78745,30.20279,-97.82513,"Entire guest suite","Entire home/apt",1,1,1,85,"t",4.67,4.94,4.7,4.84,4.9,4.71,4.82,0.37
"62",560094,"https://www.airbnb.com/rooms/560094","Central Luxury, Hot Tub, Barton Springs. Dogs ok!",4335991,"Karen","2012-12-05","100%","t","94%",2,"['email', 'phone']","t",78704,30.2478,-97.786,"Entire home","Entire home/apt",3,4,3,395,"t",4.88,4.92,4.77,5,4.98,4.92,4.76,0.65
"63",563735,"https://www.airbnb.com/rooms/563735","Zen Modern Home Near Downtown AUS",2771838,"Pamela","2012-06-28","100%","f","N/A",1,"['email', 'phone']","t",78704,30.25289,-97.79371,"Private room in home","Private room",1,1,1,55,"t",5,5,5,5,5,5,5,0.01
"64",333815,"https://www.airbnb.com/rooms/333815","Solar Sanctuary - Austin Room",372962,"Kim","2011-02-01","100%","t","96%",1,"['email', 'phone']","t",78704,30.25381,-97.75262,"Private room in home","Private room",1.5,1,1,102,"t",4.92,4.95,4.92,4.97,4.96,4.85,4.84,1.25
"68",337125,"https://www.airbnb.com/rooms/337125","1800 Sq ft, 3-2 home in NW Austin",261883,"Carolyn","2010-10-14","N/A","f","N/A",1,"['email', 'phone']","t",78759,30.42035,-97.76685,"Private room in home","Private room",NA,1,2,80,"t",4.79,4.76,4.67,4.91,4.85,4.85,4.88,0.22
"69",587572,"https://www.airbnb.com/rooms/587572","Austin Getaway",7976770,"Andrew","2013-08-06","90%","t","100%",5,"['email', 'phone']","t",78704,30.24546,-97.76627,"Entire condo","Entire home/apt",1,1,1,107,"t",4.77,4.89,4.74,4.93,4.88,4.88,4.82,1.39
"70",592958,"https://www.airbnb.com/rooms/592958","South Congress Beautiful Peaceful Bungalow",2927288,"Tracy","2012-07-13","100%","t","98%",1,"['email', 'phone']","t",78704,30.24373,-97.75394,"Entire home","Entire home/apt",2,3,3,258,"t",4.93,4.89,4.95,4.96,4.95,4.98,4.86,0.88
"71",602877,"https://www.airbnb.com/rooms/602877","Stylish North Central with Pool - Walking friendly",1280071,"Alexis","2011-10-12","100%","t","58%",3,"['email', 'phone', 'work_email']","t",78757,30.35992,-97.7331,"Entire condo","Entire home/apt",1,1,1,85,"t",4,4.5,3.67,4.5,4.83,4.83,4.17,0.04
"74",341530,"https://www.airbnb.com/rooms/341530","The Austinville House South Congress",740347,"Chris","2011-06-24","100%","t","100%",2,"['email', 'phone', 'work_email']","t",78704,30.24746,-97.75662,"Entire bungalow","Entire home/apt",1,1,1,175,"t",4.83,4.85,4.68,4.95,4.94,4.98,4.84,1.38
"75",607536,"https://www.airbnb.com/rooms/607536","Mid-Century Modern East Austin- 2 Rooms in a house",2546033,"Adam","2012-06-04","100%","f","88%",5,"['email', 'phone']","t",78723,30.30308,-97.67689,"Private room in home","Private room",1.5,2,2,70,"t",4.87,4.79,4.73,4.99,4.99,4.69,4.81,1.03
"76",341596,"https://www.airbnb.com/rooms/341596","South Austin Ultra Modern",1733004,"Julie","2012-02-10","100%","f","100%",1,"['email', 'phone']","t",78704,30.24623,-97.75904,"Private room in home","Private room",1,2,2,135,"t",5,4.98,4.98,4.99,5,4.99,4.94,0.67
"77",78422,"https://www.airbnb.com/rooms/78422","Living the Dream on Richardine (3br 1ba E. Austin)",421002,"E. Dixie","2011-03-03","100%","t","98%",2,"['email', 'phone']","t",78702,30.27443,-97.71135,"Entire home","Entire home/apt",1,3,4,100,"t",4.79,4.89,4.82,5,4.96,4.68,4.89,0.17
"78",609427,"https://www.airbnb.com/rooms/609427","Studio on funky S 3rd St. near SOCO",10615,"Simon","2009-03-18","100%","t","64%",1,"['email', 'phone']","t",78704,30.24492,-97.76119,"Entire guesthouse","Entire home/apt",1,1,1,100,"t",4.84,4.92,4.78,4.9,4.88,4.92,4.77,0.44
"80",78884,"https://www.airbnb.com/rooms/78884","Cozy Barton Hills Studio | Walk to Zilker Park",2157243,"Sean","2012-04-17","88%","t","100%",9,"['email', 'phone', 'work_email']","t",78704,30.26126,-97.77358,"Entire rental unit","Entire home/apt",1,0,2,102,"t",4.78,4.8,4.87,4.95,4.95,4.96,4.76,1.24
"81",622495,"https://www.airbnb.com/rooms/622495","The Blue Dahlia--close to Downtown!",12409,"Flip","2009-04-06","100%","t","77%",2,"['email', 'phone']","t",78705,30.28714,-97.75258,"Entire condo","Entire home/apt",1,1,2,73,"t",4.93,4.91,4.76,4.96,4.96,4.84,4.78,0.33
"82",342039,"https://www.airbnb.com/rooms/342039","Garden Guesthouse, central East Austin gem.",1735494,"Steph And Joey","2012-02-11","100%","f","91%",4,"['email', 'phone']","t",78702,30.25158,-97.73147,"Entire guesthouse","Entire home/apt",1,1,1,95,"t",4.92,4.93,4.92,4.97,4.94,4.88,4.89,2.68
"83",79100,"https://www.airbnb.com/rooms/79100","Bungalow-Pool-Hot Tub-51st Area- G.Fiber-Monthly",425706,"Robert","2011-03-06","100%","t","97%",12,"['email', 'phone']","t",78723,30.30933,-97.6952,"Entire guesthouse","Entire home/apt",1,1,1,97,"t",4.98,4.95,4.9,4.9,5,4.88,4.88,0.29
"84",342243,"https://www.airbnb.com/rooms/342243","Spacious Private Master Suite by the Month.",1736662,"Teresa","2012-02-11","N/A","f","75%",1,"['email', 'phone']","t",78759,30.41633,-97.75228,"Private room in home","Private room",1,1,1,40,"t",5,5,5,5,5,5,5,0.06
"85",343462,"https://www.airbnb.com/rooms/343462","Charming Family Friendly Studio",1742984,"Rachel","2012-02-13","100%","f","72%",2,"['email', 'phone']","t",78721,30.26895,-97.68947,"Entire guest suite","Entire home/apt",1,1,1,115,"t",4.89,4.91,4.85,4.97,4.96,4.64,4.83,1.84
"86",343889,"https://www.airbnb.com/rooms/343889","Close-in Central/East Garage Apt",1744639,"Darcy","2012-02-13","100%","t","100%",1,"['email', 'phone']","t",78702,30.27293,-97.72288,"Entire rental unit","Entire home/apt",1,0,1,52,"t",4.76,4.87,4.61,4.89,4.95,4.89,4.68,0.25
"88",628034,"https://www.airbnb.com/rooms/628034","Charming Vintage Craftsman w/ Huge Yard - East DT",2436512,"Crystal","2012-05-22","100%","t","99%",11,"['email', 'phone']","t",78702,30.27191,-97.71989,"Entire bungalow","Entire home/apt",2,2,2,174,"t",4.9,4.9,4.87,4.98,4.97,4.67,4.86,5.01
"89",632659,"https://www.airbnb.com/rooms/632659","Central/East Maple Ave. Guest House",3147504,"Michelle","2012-08-03","100%","t","94%",3,"['email', 'phone']","t",78722,30.28273,-97.71702,"Entire guesthouse","Entire home/apt",1,2,2,191,"t",4.98,4.99,4.96,5,5,4.94,4.95,3.38
"91",644051,"https://www.airbnb.com/rooms/644051","Central Austin, close to everything. Monthly rates",3222157,"Tracey","2012-08-10","N/A","f","0%",1,"['email', 'phone']","t",78704,30.25084,-97.73897,"Entire home","Entire home/apt",2,4,6,786,"t",4.92,4.89,4.89,4.97,5,5,4.86,0.28
"92",345473,"https://www.airbnb.com/rooms/345473","Exquisite Boutique SoCo Cottage with Shops and Restaurants Nearby",1751224,"Whitney","2012-02-14","100%","t","100%",1,"['email', 'phone']","t",78704,30.24619,-97.74569,"Entire home","Entire home/apt",2,3,3,189,"t",4.96,4.94,4.92,4.99,4.98,4.97,4.84,1.69
"93",345536,"https://www.airbnb.com/rooms/345536","Artist's Hm. in Hip Bouldin Creek Area",1752493,"Gigi","2012-02-14","100%","t","99%",2,"['email', 'phone']","t",78704,30.2466,-97.76157,"Entire bungalow","Entire home/apt",1,2,3,178,"t",4.93,4.96,4.93,4.96,4.94,4.98,4.86,2.23
"95",79603,"https://www.airbnb.com/rooms/79603","Beautiful Bouldin Cottage - 78704",428883,"Beau","2011-03-07","100%","t","80%",1,"['email', 'phone']","t",78704,30.24948,-97.75896,"Entire bungalow","Entire home/apt",1,2,2,168,"t",4.81,4.85,4.87,4.96,4.94,4.96,4.68,0.9
"96",347654,"https://www.airbnb.com/rooms/347654","Location! SOCO, S Congress 3bd Home w/ Cowboy Pool",1761915,"Charm","2012-02-16","100%","t","97%",7,"['email', 'phone', 'work_email']","t",78704,30.23661,-97.7449,"Entire home","Entire home/apt",2.5,3,3,575,"t",4.91,4.85,4.85,4.93,4.94,4.87,4.78,0.47
"100",660425,"https://www.airbnb.com/rooms/660425","The Casita on Hether St",3333277,"Gisela","2012-08-21","100%","t","100%",2,"['email', 'phone']","t",78704,30.25278,-97.77303,"Entire guest suite","Entire home/apt",1,2,2,158,"t",4.91,4.98,5,4.99,4.97,4.93,4.83,1.26
"101",662226,"https://www.airbnb.com/rooms/662226","Brentwood Bungalow-Central-2 BDRMS",543367,"Mary","2011-04-28","100%","t","88%",2,"['email', 'phone']","t",78757,30.3353405600954,-97.7288796423868,"Entire home","Entire home/apt",1,2,2,160,"t",4.96,5,4.96,5,5,4.96,4.88,0.2
"102",349447,"https://www.airbnb.com/rooms/349447","Eastside Cabana - Near UT,Downtown",1770424,"Jason","2012-02-18","100%","t","100%",8,"['email', 'phone', 'work_email']","t",78702,30.27871,-97.72332,"Entire bungalow","Entire home/apt",1,1,1,100,"t",4.83,4.88,4.82,4.95,4.94,4.78,4.75,6.29
"103",349635,"https://www.airbnb.com/rooms/349635","Central Austin (Tarrytown) Bed and Bath",1771402,"Cindie","2012-02-18","100%","f","100%",3,"['email', 'phone']","t",78703,30.29932,-97.77631,"Private room in guest suite","Private room",1,1,1,72,"t",4.69,4.79,4.61,4.91,4.91,4.91,4.74,0.54
"104",664013,"https://www.airbnb.com/rooms/664013","Private Room in Rustic Cottage-Multiple Nights",265070,"Lata","2010-10-18","100%","t","100%",2,"['email', 'phone']","t",78733,30.34998,-97.85608,"Private room in home","Private room",1,1,1,82,"t",4.83,4.88,4.77,4.97,4.95,4.89,4.88,1.4
"106",666423,"https://www.airbnb.com/rooms/666423","Zilker Neighborhood Bungalow SXSW",2350380,"Nessa","2012-05-11","100%","f","40%",3,"['phone']","t",78704,30.24831,-97.77864,"Entire home","Entire home/apt",1,3,3,275,"t",4.94,4.94,4.88,4.94,4.94,4.88,4.88,0.13
"107",666768,"https://www.airbnb.com/rooms/666768","Detached Studio.shared bath/kitchen",2350380,"Nessa","2012-05-11","100%","f","40%",3,"['phone']","t",78704,30.24747,-97.77826,"Private room in cabin","Private room",NA,1,1,100,"t",4.92,5,4.92,5,5,4.83,4.92,0.1
"109",83643,"https://www.airbnb.com/rooms/83643","Fun Central Austin Convenience",456230,"Michele","2011-03-22","100%","t","82%",2,"['email', 'phone']","t",78752,30.32395,-97.71851,"Private room in home","Private room",1,1,1,52,"t",4.96,4.96,4.94,5,4.99,4.89,4.92,1.88
"111",353261,"https://www.airbnb.com/rooms/353261","4/3.5 SoCo Bungalow",1789494,"Lara","2012-02-21","N/A","f","100%",1,"['email', 'phone']","t",78704,30.24276,-97.75211,"Entire home","Entire home/apt",3.5,4,5,575,"t",4.8,4.85,4.83,4.94,4.87,4.92,4.72,1.79
"113",354263,"https://www.airbnb.com/rooms/354263","Artsy Guesthouse in Cen. Soco/Sola/Bouldin Creek",1752493,"Gigi","2012-02-14","100%","t","99%",2,"['email', 'phone']","t",78704,30.24821,-97.76343,"Entire guesthouse","Entire home/apt",1,1,6,134,"t",4.9,4.93,4.95,4.93,4.92,4.94,4.85,2.86
"116",668301,"https://www.airbnb.com/rooms/668301","A Place To Stay In Austin",2885190,"John & Carol","2012-07-09","100%","t","100%",1,"['email', 'phone']","t",78704,30.24706,-97.75664,"Entire guesthouse","Entire home/apt",2,2,2,129,"t",4.91,4.92,4.96,4.98,4.95,4.98,4.79,1.29
"117",676107,"https://www.airbnb.com/rooms/676107","Private Upstairs Oasis!",3434065,"Leia & Keri","2012-08-31","100%","t","99%",5,"['email', 'phone']","t",78748,30.15374,-97.80159,"Private room in home","Private room",1,1,1,66,"t",4.93,4.94,4.96,4.93,4.96,4.84,4.92,1.95
"118",676959,"https://www.airbnb.com/rooms/676959","Cozy/ Private Rm in S. Austin!",3434065,"Leia & Keri","2012-08-31","100%","t","99%",5,"['email', 'phone']","t",78748,30.15391,-97.80261,"Private room in guest suite","Private room",1,1,1,52,"t",4.88,4.93,4.95,4.93,4.92,4.81,4.92,3.15
"119",685361,"https://www.airbnb.com/rooms/685361","Clarksville Casa Grande -4000 sqft 4BR/3.5 BA",3495665,"Laura","2012-09-06","100%","f","100%",1,"['email', 'phone']","t",78703,30.2803,-97.75612,"Entire home","Entire home/apt",3.5,4,7,981,"t",4.9,4.95,4.95,4.95,4.9,4.88,4.75,0.29
